:BeginHeader
Using satellite data from MODIS/AQUA
Match-up generation datetime: 2021-12-02T13:07:03
Investigator: ermaure
Contact: maure@npec.or.jp
Missing: -999
Delimiter: comma
Header rows: 14
VALIDATION CRITERIA applied to this match-up
-Box size of satellite extract: 5 x 5 = 25 pixels
-Minimum percent valid satellite pixels: 25.0
-Maximum time difference between satellite and in situ: 3 h
-Level-2 flags considered for data screening: ATMFAIL+LAND+CLDICE+CHLFAIL+NAVFAIL
:EndHeader
cruise,Year,Month,Day,Hour,Minute,Second,Lat,Lon,id,etopo2,chl,Datetime,Filename,Variable [Units],StartDatetime,EndDatetime,ValidPixels,InvalidPixels,Min,Max,Mean,STD,Median,PointValue,PixelValue01,PixelValue02,PixelValue03,PixelValue04,PixelValue05,PixelValue06,PixelValue07,PixelValue08,PixelValue09,PixelValue10,PixelValue11,PixelValue12,PixelValue13,PixelValue14,PixelValue15,PixelValue16,PixelValue17,PixelValue18,PixelValue19,PixelValue20,PixelValue21,PixelValue22,PixelValue23,PixelValue24,PixelValue25,PixelFlags01,PixelFlags02,PixelFlags03,PixelFlags04,PixelFlags05,PixelFlags06,PixelFlags07,PixelFlags08,PixelFlags09,PixelFlags10,PixelFlags11,PixelFlags12,PixelFlags13,PixelFlags14,PixelFlags15,PixelFlags16,PixelFlags17,PixelFlags18,PixelFlags19,PixelFlags20,PixelFlags21,PixelFlags22,PixelFlags23,PixelFlags24,PixelFlags25
bio0302,2003,10,2,19,38,0,38.7952,-76.4408,1521.0,5.0,7.51,2003-10-02T19:38:00,A2003275174500.L2_LAC_OC.nc,Rrs_667 [sr^-1],2003-10-02T17:45:01,2003-10-02T17:49:59,17,8,0.00140800,0.00320400,0.00199141,0.00053338,0.00179600,-999,-999,-999,0.00163600,0.00175800,-999,-999,-999,-999,-999,-999,0.00145800,0.00152000,0.00176800,0.00197600,0.00214600,0.00140800,0.00169000,0.00186600,0.00221800,0.00309800,0.00148600,0.00179600,0.00207200,0.00275400,0.00320400,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,PRODWARN+COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,PRODWARN+COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,PRODWARN+COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL
bio0302,2003,10,2,19,38,0,38.7952,-76.4408,1521.0,5.0,7.51,2003-10-02T19:38:00,A2003275174500.L2_LAC_OC.nc,Rrs_678 [sr^-1],2003-10-02T17:45:01,2003-10-02T17:49:59,17,8,0.00153800,0.00327000,0.00210718,0.00052307,0.00191600,-999,-999,-999,0.00173600,0.00187400,-999,-999,-999,-999,-999,-999,0.00155000,0.00164800,0.00189400,0.00209600,0.00228000,0.00153800,0.00181400,0.00199800,0.00233400,0.00318800,0.00161800,0.00191600,0.00219600,0.00287200,0.00327000,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,PRODWARN+COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+CLDICE+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+CLDICE+MODGLINT+HIPOL+PRODFAIL,PRODWARN+COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,PRODWARN+COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+MODGLINT+HIPOL+PRODFAIL
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,chlor_a [mg m^-3],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.20931150,0.24095550,0.22526999,1.04500277,0.22519809,0.21370417,0.22736384,0.22835559,0.22172317,0.24095550,0.24002625,0.24021788,0.21104756,0.20931150,0.21370417,0.22519809,0.21793911,0.21910885,0.23224129,0.23092267,0.22420937,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_412 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00537400,0.00628200,0.00583307,0.00029920,0.00586600,0.00628200,0.00538400,0.00561600,0.00564600,0.00537400,0.00552200,0.00549400,0.00616000,0.00624000,0.00628200,0.00586600,0.00611800,0.00607800,0.00594600,0.00585200,0.00591800,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_443 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00500200,0.00532800,0.00518787,0.00009162,0.00519800,0.00530600,0.00509400,0.00519800,0.00527200,0.00500200,0.00516000,0.00511200,0.00524000,0.00532800,0.00530600,0.00523600,0.00526200,0.00522000,0.00503800,0.00515400,0.00519600,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_488 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00428400,0.00447000,0.00439320,0.00005122,0.00440000,0.00446000,0.00436800,0.00437000,0.00447000,0.00428400,0.00436800,0.00438800,0.00440200,0.00445600,0.00446000,0.00440800,0.00443400,0.00440600,0.00429800,0.00438600,0.00440000,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_531 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00230800,0.00240000,0.00235267,0.00002953,0.00234600,0.00238800,0.00232200,0.00230800,0.00230800,0.00233800,0.00234600,0.00235800,0.00237800,0.00239200,0.00238800,0.00240000,0.00234400,0.00231800,0.00237400,0.00237200,0.00234400,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_547 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00186400,0.00199000,0.00192253,0.00003182,0.00192000,0.00190200,0.00190000,0.00194400,0.00193400,0.00193400,0.00199000,0.00197200,0.00186400,0.00188400,0.00190200,0.00194000,0.00191000,0.00190000,0.00190400,0.00194000,0.00192000,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_645 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00024600,0.00034800,0.00030693,0.00002790,0.00031400,0.00032000,0.00033800,0.00031200,0.00030600,0.00026600,0.00031400,0.00030200,0.00026600,0.00032800,0.00032000,0.00032800,0.00031600,0.00028800,0.00024600,0.00034800,0.00032600,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_667 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00020800,0.00027000,0.00024547,0.00001559,0.00024400,0.00026400,0.00020800,0.00023800,0.00022800,0.00024000,0.00025000,0.00023600,0.00024400,0.00024600,0.00026400,0.00027000,0.00025600,0.00024200,0.00023600,0.00025800,0.00026600,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276165000.L2_LAC_OC.nc,Rrs_678 [sr^-1],2003-10-03T16:50:01,2003-10-03T16:55:00,15,0,0.00020200,0.00028400,0.00024067,0.00002347,0.00023800,0.00025200,0.00024200,0.00023600,0.00025400,0.00027200,0.00028000,0.00028400,0.00020200,0.00021400,0.00025200,0.00022800,0.00021600,0.00023000,0.00022000,0.00024200,0.00023800,,,,,,,,,,,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,HISATZEN+HIPOL,,,,,,,,,,
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276182500.L2_LAC_OC.nc,chlor_a [mg m^-3],2003-10-03T18:25:00,2003-10-03T18:29:58,20,5,7.60433531,29.67117500,14.74920205,1.38480420,13.96463299,13.92397690,7.60433531,-999,-999,22.65940857,-999,9.76167679,-999,28.31629944,29.67117500,-999,10.41430569,13.73213291,13.92397690,17.59295464,17.99648285,12.12516212,14.00528908,12.43920803,15.66895294,18.02102089,12.41312122,13.66987705,11.52302074,15.34584045,14.88372803,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276182500.L2_LAC_OC.nc,Rrs_412 [sr^-1],2003-10-03T18:25:00,2003-10-03T18:29:58,20,5,-0.00057200,0.00131800,0.00039980,0.00041035,0.00042100,0.00044600,0.00131800,-999,-999,0.00002200,-999,0.00096800,-999,-0.00026800,-0.00057200,-999,0.00072800,0.00035000,0.00044600,0.00007000,0.00027400,0.00049200,0.00039600,0.00060800,0.00038600,0.00004800,0.00055200,0.00046800,0.00085200,0.00053400,0.00032400,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276182500.L2_LAC_OC.nc,Rrs_443 [sr^-1],2003-10-03T18:25:00,2003-10-03T18:29:58,20,5,0.00013400,0.00252200,0.00109650,0.00052241,0.00104300,0.00107800,0.00252200,-999,-999,0.00063600,-999,0.00205000,-999,0.00047800,0.00013400,-999,0.00174600,0.00110400,0.00107800,0.00068600,0.00097000,0.00135200,0.00103400,0.00110200,0.00088400,0.00075000,0.00126000,0.00105200,0.00130400,0.00091600,0.00087200,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276182500.L2_LAC_OC.nc,Rrs_488 [sr^-1],2003-10-03T18:25:00,2003-10-03T18:29:58,20,5,0.00157800,0.00455800,0.00255270,0.00075590,0.00232800,0.00228600,0.00455800,-999,-999,0.00193600,-999,0.00410800,-999,0.00196800,0.00157800,-999,0.00369600,0.00262600,0.00228600,0.00199800,0.00235600,0.00317800,0.00247800,0.00230000,0.00207800,0.00205800,0.00291000,0.00244800,0.00236800,0.00202800,0.00209800,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276182500.L2_LAC_OC.nc,Rrs_531 [sr^-1],2003-10-03T18:25:00,2003-10-03T18:29:58,20,5,0.00310800,0.00673800,0.00432220,0.00103614,0.00383100,0.00385600,0.00669200,-999,-999,0.00361800,-999,0.00673800,-999,0.00378000,0.00310800,-999,0.00599400,0.00452600,0.00385600,0.00364000,0.00422000,0.00529800,0.00419600,0.00379400,0.00359600,0.00363400,0.00482800,0.00416600,0.00380600,0.00344200,0.00351200,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9,2003-10-03T16:31:00,A2003276182500.L2_LAC_OC.nc,Rrs_547 [sr^-1],2003-10-03T18:25:00,2003-10-03T18:29:58,20,5,0.00367800,0.00732200,0.00484840,0.00102405,0.00444600,0.00435600,0.00732200,-999,-999,0.00420600,-999,0.00708800,-999,0.00453600,0.00367800,-999,0.00649800,0.00498600,0.00435600,0.00405800,0.00481200,0.00583000,0.00472800,0.00424800,0.00408800,0.00420600,0.00537000,0.00464000,0.00428200,0.00396600,0.00407000,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+CLDICE+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+STRAYLIGHT+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL,COASTZ+TURBIDW+PRODFAIL
